City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Charters Towers,AU,-20.1,146.2667,86.32,49,89,18.48,overcast clouds
190,Novyy Urengoy,RU,66.0833,76.6333,-3.33,96,14,9.91,few clouds
191,New Norfolk,AU,-42.7826,147.0587,63.66,49,100,4.0,overcast clouds
192,Saint Anthony,US,45.0205,-93.218,42.82,58,90,1.99,overcast clouds
193,Inta,RU,66.0317,60.1659,3.47,87,5,8.21,clear sky
194,Cienfuegos,CU,22.1461,-80.4356,72.03,77,6,7.81,clear sky
195,Zharkovskiy,RU,55.849,32.2697,38.39,81,6,6.35,clear sky
196,Ouallam,NE,14.3188,2.0866,85.15,15,100,6.71,overcast clouds
197,San Juan,AR,-31.5375,-68.5364,58.89,65,100,13.51,overcast clouds
198,Laguna,US,38.421,-121.4238,66.06,63,1,1.01,clear sky
199,Roma,US,43.2128,-75.4557,54.39,91,90,0.0,overcast clouds
200,Kroya,ID,-7.6331,109.2461,80.44,82,99,3.13,overcast clouds
201,Straseni,MD,47.1414,28.6103,28.33,91,0,4.29,clear sky
202,Fairbanks,US,64.8378,-147.7164,31.82,84,100,3.49,overcast clouds
203,Gat,IL,31.61,34.7642,78.08,40,100,7.74,overcast clouds
204,Tuatapere,NZ,-46.1333,167.6833,55.31,70,97,10.65,overcast clouds
205,Taoudenni,ML,22.6783,-3.9836,78.98,19,0,11.48,clear sky
206,Zhezkazgan,KZ,47.8043,67.7144,43.77,71,100,12.5,overcast clouds
207,Beloha,MG,-25.1667,45.05,71.28,77,84,4.34,broken clouds
208,Cockburn Town,TC,21.4612,-71.1419,82.06,69,100,7.7,overcast clouds
209,Luangwa,ZM,-15.6167,30.4167,78.06,44,5,2.89,clear sky
210,Leningradskiy,RU,69.3833,178.4167,-1.91,87,99,12.68,overcast clouds
211,Sitka,US,57.0531,-135.33,44.82,73,100,7.18,overcast clouds
212,Aksarka,RU,66.5606,67.7975,-1.05,88,78,3.06,broken clouds
213,Keflavik,IS,64.0049,-22.5624,35.53,86,75,21.85,broken clouds
214,Middelburg,ZA,-25.7751,29.4648,60.24,71,0,5.41,clear sky
215,Saskylakh,RU,71.9167,114.0833,4.59,97,99,6.82,overcast clouds
216,Boden,SE,65.8252,21.6886,35.6,100,100,4.83,overcast clouds
217,Aykhal,RU,66.0,111.5,3.7,94,100,21.07,overcast clouds
218,Crib Point,AU,-38.35,145.2,78.15,66,9,4.45,clear sky
219,Dzhebariki-Khaya,RU,62.2167,135.8,9.81,83,100,2.71,overcast clouds
220,Arica,CL,-18.475,-70.3042,62.83,77,0,4.61,clear sky
221,Marawi,PH,7.9986,124.2928,73.65,75,38,3.58,scattered clouds
222,Vilyuysk,RU,63.7553,121.6247,12.22,90,100,5.7,overcast clouds
223,Salekhard,RU,66.53,66.6019,1.4,84,43,6.44,scattered clouds
224,Kolpashevo,RU,58.3131,82.9089,13.57,82,100,8.66,overcast clouds
225,Aklavik,CA,68.2191,-135.0107,34.52,87,100,9.8,overcast clouds
226,Constantine,DZ,36.365,6.6147,64.45,61,66,5.41,broken clouds
227,Araouane,ML,18.9048,-3.5265,82.51,20,100,11.3,overcast clouds
228,Waipawa,NZ,-41.4122,175.5153,61.93,68,78,3.24,broken clouds
229,Pevek,RU,69.7008,170.3133,1.81,94,100,6.2,light snow
