City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,Guntur,IN,2021-10-31 20:42:39,16.3,80.45,74.05,95,98,3.76
245,Hami,CN,2021-10-31 20:42:39,42.8,93.45,49.73,46,100,3.78
246,Parabel,RU,2021-10-31 20:42:39,58.6978,81.4825,13.33,84,69,10.02
247,Fortuna,US,2021-10-31 20:42:39,40.5982,-124.1573,68.47,65,75,3.0
248,Mecca,SA,2021-10-31 20:42:40,21.4267,39.8261,80.65,60,0,0.74
249,Haines Junction,CA,2021-10-31 20:42:40,60.7522,-137.5108,42.75,39,100,5.75
250,Batabano,CU,2021-10-31 20:42:40,22.7164,-82.2881,83.01,64,96,6.93
251,Porto Uniao,BR,2021-10-31 20:42:41,-26.2381,-51.0783,63.88,97,100,3.91
252,Teculutan,GT,2021-10-31 20:42:41,14.9833,-89.7167,94.75,31,0,11.5
253,Cayenne,GF,2021-10-31 20:42:41,4.9333,-52.3333,84.24,77,20,5.01
254,Port Macquarie,AU,2021-10-31 20:39:43,-31.4333,152.9167,60.89,65,49,3.87
255,High Rock,BS,2021-10-31 20:42:42,26.6208,-78.2833,78.82,62,4,9.08
256,General Pico,AR,2021-10-31 20:42:42,-35.6566,-63.7568,51.48,95,100,11.1
257,Sao Felix Do Xingu,BR,2021-10-31 20:42:42,-6.6447,-51.995,84.49,59,91,3.85
258,Bonavista,CA,2021-10-31 20:42:43,48.6499,-53.1147,48.2,92,63,14.14
259,Broken Hill,AU,2021-10-31 20:42:43,-31.95,141.4333,62.31,27,97,9.22
260,Esperance,AU,2021-10-31 20:42:43,-33.8667,121.9,64.24,51,100,18.41
261,Atambua,ID,2021-10-31 20:42:44,-9.1061,124.8925,74.66,84,75,1.59
262,Quatre Cocos,MU,2021-10-31 20:42:44,-20.2078,57.7625,72.09,78,1,8.81
263,Karratha,AU,2021-10-31 20:38:09,-20.7377,116.8463,71.58,64,0,7.38
264,Santa Isabel Do Rio Negro,BR,2021-10-31 20:42:44,-0.4139,-65.0192,85.37,68,90,1.19
