City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
617,Alice,US,75.31,clear sky,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
625,Sabang,ID,81.34,broken clouds,5.8933,95.3214,Hotel Citra
631,Alice Town,BS,77.07,broken clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
632,Kavaratti,IN,81.1,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
634,Tabou,CI,76.86,light rain,4.423,-7.3528,hotêl doufoulougou
639,Raymondville,US,81.37,clear sky,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
646,Puerto Quijarro,BO,78.66,broken clouds,-17.7833,-57.7667,Hotel palance
647,Hervey Bay,AU,77.11,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
648,Pa Sang,TH,77.79,broken clouds,18.5262,98.9394,โรงแรม จามจุรี 99
651,Fayaoue,NC,75.54,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
652,Auki,SB,82.0,light rain,-8.7676,160.7034,Auki Motel
656,Tra Vinh,VN,83.7,broken clouds,9.9347,106.3453,Hồng Ân
658,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
659,Riyadh,SA,71.85,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
661,Kahului,US,83.97,clear sky,20.8947,-156.47,Maui Seaside Hotel
663,Makakilo City,US,82.15,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
666,Sarangani,PH,83.53,broken clouds,5.4033,125.4636,Ballistic Islet
667,Lamu,KE,79.02,scattered clouds,-2.2717,40.902,Lamu House
669,Arlit,NE,80.62,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
